"(0, 0) -> (32, 32)",4,3242183
"(0, 0) -> (32, 32)",8,3367799
"(0, 0) -> (32, 32)",16,4443297
"(0, 0) -> (32, 32)",32,6923911
"(0, 32) -> (32, 64)",4,3245783
"(0, 32) -> (32, 64)",8,3371099
"(0, 32) -> (32, 64)",16,4446447
"(0, 32) -> (32, 64)",32,6927061
"(0, 64) -> (32, 96)",4,3375967
"(0, 64) -> (32, 96)",8,3436191
"(0, 64) -> (32, 96)",16,4446447
"(0, 64) -> (32, 96)",32,6927061
"(0, 96) -> (32, 128)",4,3375967
"(0, 96) -> (32, 128)",8,3436191
"(0, 96) -> (32, 128)",16,4446447
"(0, 96) -> (32, 128)",32,6927061
"(0, 128) -> (32, 160)",4,3506151
"(0, 128) -> (32, 160)",8,3371099
"(0, 128) -> (32, 160)",16,4511539
"(0, 128) -> (32, 160)",32,6927061
"(0, 160) -> (32, 192)",4,3506151
"(0, 160) -> (32, 192)",8,3501283
"(0, 160) -> (32, 192)",16,4478993
"(0, 160) -> (32, 192)",32,6927061
"(0, 192) -> (32, 224)",4,3506151
"(0, 192) -> (32, 224)",8,3501283
"(0, 192) -> (32, 224)",16,4478993
"(0, 192) -> (32, 224)",32,6959607
"(0, 224) -> (32, 256)",4,3644839
"(0, 224) -> (32, 256)",8,3504283
"(0, 224) -> (32, 256)",16,4481993
"(0, 224) -> (32, 256)",32,6930061
"(0, 256) -> (32, 288)",4,3512151
"(0, 256) -> (32, 288)",8,3442191
"(0, 256) -> (32, 288)",16,4452447
"(0, 256) -> (32, 288)",32,6933061
"(0, 288) -> (32, 320)",4,3512151
"(0, 288) -> (32, 320)",8,3507283
"(0, 288) -> (32, 320)",16,4517539
"(0, 288) -> (32, 320)",32,6965607
"(0, 320) -> (32, 352)",4,3647839
"(0, 320) -> (32, 352)",8,3507283
"(0, 320) -> (32, 352)",16,4517539
"(0, 320) -> (32, 352)",32,6933061
"(0, 352) -> (32, 384)",4,3647839
"(0, 352) -> (32, 384)",8,3507283
"(0, 352) -> (32, 384)",16,4517539
"(0, 352) -> (32, 384)",32,6933061
"(0, 384) -> (32, 416)",4,3783527
"(0, 384) -> (32, 416)",8,3442191
"(0, 384) -> (32, 416)",16,4517539
"(0, 384) -> (32, 416)",32,6965607
"(0, 416) -> (32, 448)",4,3647839
"(0, 416) -> (32, 448)",8,3575127
"(0, 416) -> (32, 448)",16,4517539
"(0, 416) -> (32, 448)",32,6933061
"(0, 448) -> (32, 480)",4,3647839
"(0, 448) -> (32, 480)",8,3575127
"(0, 448) -> (32, 480)",16,4517539
"(0, 448) -> (32, 480)",32,6999529
"(0, 480) -> (32, 512)",4,3783527
"(0, 480) -> (32, 512)",8,3642971
"(0, 480) -> (32, 512)",16,4518915
"(0, 480) -> (32, 512)",32,6933061
"(32, 0) -> (64, 32)",4,3505701
"(32, 0) -> (64, 32)",8,3501133
"(32, 0) -> (64, 32)",16,4478993
"(32, 0) -> (64, 32)",32,6927061
"(32, 32) -> (64, 64)",4,3509301
"(32, 32) -> (64, 64)",8,3572277
"(32, 32) -> (64, 64)",16,4514689
"(32, 32) -> (64, 64)",32,6930211
"(32, 64) -> (64, 96)",4,3780677
"(32, 64) -> (64, 96)",8,3504433
"(32, 64) -> (64, 96)",16,4514689
"(32, 64) -> (64, 96)",32,6996679
"(32, 96) -> (64, 128)",4,3644989
"(32, 96) -> (64, 128)",8,3640121
"(32, 96) -> (64, 128)",16,4514689
"(32, 96) -> (64, 128)",32,6962757
"(32, 128) -> (64, 160)",4,3509301
"(32, 128) -> (64, 160)",8,3504433
"(32, 128) -> (64, 160)",16,4514689
"(32, 128) -> (64, 160)",32,6962757
"(32, 160) -> (64, 192)",4,3509301
"(32, 160) -> (64, 192)",8,3504433
"(32, 160) -> (64, 192)",16,4514689
"(32, 160) -> (64, 192)",32,6962757
"(32, 192) -> (64, 224)",4,3780677
"(32, 192) -> (64, 224)",8,3572277
"(32, 192) -> (64, 224)",16,4514689
"(32, 192) -> (64, 224)",32,6962757
"(32, 224) -> (64, 256)",4,3647989
"(32, 224) -> (64, 256)",8,3575277
"(32, 224) -> (64, 256)",16,4551611
"(32, 224) -> (64, 256)",32,6933211
"(32, 256) -> (64, 288)",4,3786677
"(32, 256) -> (64, 288)",8,3578277
"(32, 256) -> (64, 288)",16,4520689
"(32, 256) -> (64, 288)",32,6968757
"(32, 288) -> (64, 320)",4,3786677
"(32, 288) -> (64, 320)",8,3510433
"(32, 288) -> (64, 320)",16,4554611
"(32, 288) -> (64, 320)",32,6968757
"(32, 320) -> (64, 352)",4,3650989
"(32, 320) -> (64, 352)",8,3510433
"(32, 320) -> (64, 352)",16,4520689
"(32, 320) -> (64, 352)",32,6936211
"(32, 352) -> (64, 384)",4,3786677
"(32, 352) -> (64, 384)",8,3578277
"(32, 352) -> (64, 384)",16,4520689
"(32, 352) -> (64, 384)",32,6968757
"(32, 384) -> (64, 416)",4,3927869
"(32, 384) -> (64, 416)",8,3646121
"(32, 384) -> (64, 416)",16,4520689
"(32, 384) -> (64, 416)",32,7002679
"(32, 416) -> (64, 448)",4,3650989
"(32, 416) -> (64, 448)",8,3578277
"(32, 416) -> (64, 448)",16,4520689
"(32, 416) -> (64, 448)",32,6968757
"(32, 448) -> (64, 480)",4,3650989
"(32, 448) -> (64, 480)",8,3646121
"(32, 448) -> (64, 480)",16,4520689
"(32, 448) -> (64, 480)",32,7002679
"(32, 480) -> (64, 512)",4,3786677
"(32, 480) -> (64, 512)",8,3646121
"(32, 480) -> (64, 512)",16,4554611
"(32, 480) -> (64, 512)",32,6936211
"(64, 0) -> (96, 32)",4,3641389
"(64, 0) -> (96, 32)",8,3501133
"(64, 0) -> (96, 32)",16,4545461
"(64, 0) -> (96, 32)",32,6959607
"(64, 32) -> (96, 64)",4,3780677
"(64, 32) -> (96, 64)",8,3572277
"(64, 32) -> (96, 64)",16,4514689
"(64, 32) -> (96, 64)",32,6962757
"(64, 64) -> (96, 96)",4,3780677
"(64, 64) -> (96, 96)",8,3504433
"(64, 64) -> (96, 96)",16,4514689
"(64, 64) -> (96, 96)",32,6996679
"(64, 96) -> (96, 128)",4,3644989
"(64, 96) -> (96, 128)",8,3640121
"(64, 96) -> (96, 128)",16,4514689
"(64, 96) -> (96, 128)",32,6962757
"(64, 128) -> (96, 160)",4,3509301
"(64, 128) -> (96, 160)",8,3572277
"(64, 128) -> (96, 160)",16,4514689
"(64, 128) -> (96, 160)",32,6962757
"(64, 160) -> (96, 192)",4,3644989
"(64, 160) -> (96, 192)",8,3504433
"(64, 160) -> (96, 192)",16,4514689
"(64, 160) -> (96, 192)",32,6962757
"(64, 192) -> (96, 224)",4,3780677
"(64, 192) -> (96, 224)",8,3572277
"(64, 192) -> (96, 224)",16,4582533
"(64, 192) -> (96, 224)",32,6962757
"(64, 224) -> (96, 256)",4,3924869
"(64, 224) -> (96, 256)",8,3643121
"(64, 224) -> (96, 256)",16,4585533
"(64, 224) -> (96, 256)",32,6965757
"(64, 256) -> (96, 288)",4,3786677
"(64, 256) -> (96, 288)",8,3578277
"(64, 256) -> (96, 288)",16,4520689
"(64, 256) -> (96, 288)",32,6968757
"(64, 288) -> (96, 320)",4,3786677
"(64, 288) -> (96, 320)",8,3510433
"(64, 288) -> (96, 320)",16,4554611
"(64, 288) -> (96, 320)",32,6968757
"(64, 320) -> (96, 352)",4,3650989
"(64, 320) -> (96, 352)",8,3578277
"(64, 320) -> (96, 352)",16,4520689
"(64, 320) -> (96, 352)",32,6936211
"(64, 352) -> (96, 384)",4,3786677
"(64, 352) -> (96, 384)",8,3578277
"(64, 352) -> (96, 384)",16,4554611
"(64, 352) -> (96, 384)",32,6968757
"(64, 384) -> (96, 416)",4,3927869
"(64, 384) -> (96, 416)",8,3646121
"(64, 384) -> (96, 416)",16,4520689
"(64, 384) -> (96, 416)",32,7002679
"(64, 416) -> (96, 448)",4,3650989
"(64, 416) -> (96, 448)",8,3646121
"(64, 416) -> (96, 448)",16,4520689
"(64, 416) -> (96, 448)",32,6968757
"(64, 448) -> (96, 480)",4,3650989
"(64, 448) -> (96, 480)",8,3646121
"(64, 448) -> (96, 480)",16,4554611
"(64, 448) -> (96, 480)",32,7002679
"(64, 480) -> (96, 512)",4,3786677
"(64, 480) -> (96, 512)",8,3646121
"(64, 480) -> (96, 512)",16,4554611
"(64, 480) -> (96, 512)",32,6936211
"(96, 0) -> (128, 32)",4,3641389
"(96, 0) -> (128, 32)",8,3501133
"(96, 0) -> (128, 32)",16,4579383
"(96, 0) -> (128, 32)",32,6959607
"(96, 32) -> (128, 64)",4,3780677
"(96, 32) -> (128, 64)",8,3572277
"(96, 32) -> (128, 64)",16,4548611
"(96, 32) -> (128, 64)",32,6996679
"(96, 64) -> (128, 96)",4,3780677
"(96, 64) -> (128, 96)",8,3504433
"(96, 64) -> (128, 96)",16,4514689
"(96, 64) -> (128, 96)",32,6996679
"(96, 96) -> (128, 128)",4,3780677
"(96, 96) -> (128, 128)",8,3640121
"(96, 96) -> (128, 128)",16,4514689
"(96, 96) -> (128, 128)",32,6962757
"(96, 128) -> (128, 160)",4,3780677
"(96, 128) -> (128, 160)",8,3572277
"(96, 128) -> (128, 160)",16,4514689
"(96, 128) -> (128, 160)",32,6962757
"(96, 160) -> (128, 192)",4,3644989
"(96, 160) -> (128, 192)",8,3572277
"(96, 160) -> (128, 192)",16,4514689
"(96, 160) -> (128, 192)",32,6962757
"(96, 192) -> (128, 224)",4,3780677
"(96, 192) -> (128, 224)",8,3572277
"(96, 192) -> (128, 224)",16,4582533
"(96, 192) -> (128, 224)",32,6962757
"(96, 224) -> (128, 256)",4,3924869
"(96, 224) -> (128, 256)",8,3643121
"(96, 224) -> (128, 256)",16,4585533
"(96, 224) -> (128, 256)",32,6965757
"(96, 256) -> (128, 288)",4,3786677
"(96, 256) -> (128, 288)",8,3578277
"(96, 256) -> (128, 288)",16,4520689
"(96, 256) -> (128, 288)",32,6968757
"(96, 288) -> (128, 320)",4,3786677
"(96, 288) -> (128, 320)",8,3578277
"(96, 288) -> (128, 320)",16,4554611
"(96, 288) -> (128, 320)",32,6968757
"(96, 320) -> (128, 352)",4,3650989
"(96, 320) -> (128, 352)",8,3578277
"(96, 320) -> (128, 352)",16,4554611
"(96, 320) -> (128, 352)",32,7002679
"(96, 352) -> (128, 384)",4,3786677
"(96, 352) -> (128, 384)",8,3578277
"(96, 352) -> (128, 384)",16,4554611
"(96, 352) -> (128, 384)",32,6968757
"(96, 384) -> (128, 416)",4,3927869
"(96, 384) -> (128, 416)",8,3646121
"(96, 384) -> (128, 416)",16,4520689
"(96, 384) -> (128, 416)",32,7002679
"(96, 416) -> (128, 448)",4,3792181
"(96, 416) -> (128, 448)",8,3646121
"(96, 416) -> (128, 448)",16,4520689
"(96, 416) -> (128, 448)",32,6968757
"(96, 448) -> (128, 480)",4,3786677
"(96, 448) -> (128, 480)",8,3646121
"(96, 448) -> (128, 480)",16,4554611
"(96, 448) -> (128, 480)",32,7002679
"(96, 480) -> (128, 512)",4,3786677
"(96, 480) -> (128, 512)",8,3646121
"(96, 480) -> (128, 512)",16,4554611
"(96, 480) -> (128, 512)",32,6968757
"(128, 0) -> (160, 32)",4,3641389
"(128, 0) -> (160, 32)",8,3501133
"(128, 0) -> (160, 32)",16,4579383
"(128, 0) -> (160, 32)",32,6959607
"(128, 32) -> (160, 64)",4,3780677
"(128, 32) -> (160, 64)",8,3572277
"(128, 32) -> (160, 64)",16,4548611
"(128, 32) -> (160, 64)",32,6996679
"(128, 64) -> (160, 96)",4,3780677
"(128, 64) -> (160, 96)",8,3504433
"(128, 64) -> (160, 96)",16,4514689
"(128, 64) -> (160, 96)",32,6996679
"(128, 96) -> (160, 128)",4,3780677
"(128, 96) -> (160, 128)",8,3710717
"(128, 96) -> (160, 128)",16,4582533
"(128, 96) -> (160, 128)",32,6962757
"(128, 128) -> (160, 160)",4,3780677
"(128, 128) -> (160, 160)",8,3640121
"(128, 128) -> (160, 160)",16,4514689
"(128, 128) -> (160, 160)",32,6962757
"(128, 160) -> (160, 192)",4,3780677
"(128, 160) -> (160, 192)",8,3572277
"(128, 160) -> (160, 192)",16,4514689
"(128, 160) -> (160, 192)",32,6962757
"(128, 192) -> (160, 224)",4,3780677
"(128, 192) -> (160, 224)",8,3572277
"(128, 192) -> (160, 224)",16,4582533
"(128, 192) -> (160, 224)",32,6962757
"(128, 224) -> (160, 256)",4,3924869
"(128, 224) -> (160, 256)",8,3643121
"(128, 224) -> (160, 256)",16,4585533
"(128, 224) -> (160, 256)",32,6965757
"(128, 256) -> (160, 288)",4,3786677
"(128, 256) -> (160, 288)",8,3578277
"(128, 256) -> (160, 288)",16,4520689
"(128, 256) -> (160, 288)",32,6968757
"(128, 288) -> (160, 320)",4,3927869
"(128, 288) -> (160, 320)",8,3578277
